GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
QuckApp Auth Service,com.quckapp.auth.security.jwt,JwtService,348,0,6,0,75,0,30,0,27,0
QuckApp Auth Service,com.quckapp.auth,AuthServiceApplication,8,0,0,0,3,0,2,0,2,0
QuckApp Auth Service,com.quckapp.auth.domain.repository,LoginHistoryRepository,17,0,2,0,2,0,2,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,SessionDtos,3,0,0,0,1,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserPreferencesDtos,3,0,0,0,1,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,LoginHistoryDtos.LoginHistoryDto,0,75,0,2,0,24,0,2,0,1
QuckApp Auth Service,com.quckapp.auth.dto,RbacDtos,3,0,0,0,1,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserProfileDtos.LinkedDeviceDto,28,0,2,0,10,0,2,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,LoginHistoryDtos.LoginAnomalyDto,4,39,1,1,0,13,1,1,0,1
QuckApp Auth Service,com.quckapp.auth.dto,LoginHistoryDtos,3,0,0,0,1,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserPreferencesDtos.SecurityPreferencesDto,52,0,0,0,18,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,OtpResponse,0,57,0,0,0,29,0,5,0,5
QuckApp Auth Service,com.quckapp.auth.dto,UserPreferencesDtos.NotificationPreferencesDto,67,0,0,0,23,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,RbacDtos.RoleWithPermissionsDto,40,0,0,0,13,0,2,0,2,0
QuckApp Auth Service,com.quckapp.auth.dto,RbacDtos.UserRoleDto,31,0,0,0,10,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,RbacDtos.RoleDto,27,0,0,0,10,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserProfileDtos.UserProfileDto,3,73,2,2,0,24,2,1,0,1
QuckApp Auth Service,com.quckapp.auth.dto,RbacDtos.PermissionDto,24,0,0,0,9,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserProfileDtos,3,0,0,0,1,0,1,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,SessionDtos.SessionActivityDto,0,25,0,0,0,9,0,1,0,1
QuckApp Auth Service,com.quckapp.auth.dto,SessionDtos.ActiveSessionDto,0,68,0,0,0,24,0,2,0,2
QuckApp Auth Service,com.quckapp.auth.dto,UserProfileDtos.UserSettingsDto,70,0,2,0,24,0,2,0,1,0
QuckApp Auth Service,com.quckapp.auth.dto,UserProfileDtos.UserProfileSummaryDto,3,34,2,2,0,11,2,1,0,1
QuckApp Auth Service,com.quckapp.auth.dto,UserPreferencesDtos.TrustedDeviceDto,37,0,0,0,13,0,1,0,1,0
